"","V2_01","V2_02","V3_01","V3_02","V4_01","V4_02","V5_01","V5_02","V6_01","V6_02","V7_01","V7_02","V8_01","V8_02","V9_01","V9_02","V10_01","V10_02","V11_01","V11_02","V12_01","V12_02","V13_01","V13_02","V14_01","V14_02","V15_01","V15_02"
"221","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","30","bearing_degrees","300","how_many_animals_were_observed","340","observers","TW2","coordinates","0.91318 37.56443","habitat_","mixed_shrubs_and_trees","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"222","species_","baboon","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","30","bearing_degrees","180","how_many_animals_were_observed","55","observers","TW2","coordinates","0.86183 37.56706","habitat_","mixed_shrubs_and_trees","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","species_","livestock","livestock","camel","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","200","bearing_degrees","20","observers","TW2","how_many_animals_were_observed","13","coordinates","0.84765 37.56964","habitat_","dense_lagga_vegetation","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"224","bearing_degrees","80","coordinates","0.83933 37.56627","distance_meters","50","habitat_","mixed_shrubs_and_trees","how_many_animals_were_observed","4","livestock","camel","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane","generated_note_survey","null","what_species_of_bird_was_observ","null","approximate_number_of_days_sinc","null,
    approximate_age_of_individual"
"225","species_","livestock","livestock","camel","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","40","bearing_degrees","230","how_many_animals_were_observed","6","observers","TW2","coordinates","0.83169 37.56166","habitat_","acacia _reficiens_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"226","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","30","bearing_degrees","150","how_many_animals_were_observed","320","observers","TW2","coordinates","0.75000 37.57532","habitat_","acacia _reficiens_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"227","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","30","bearing_degrees","90","how_many_animals_were_observed","6","observers","TW2","coordinates","0.74095 37.58327","habitat_","acacia _reficiens_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"228","species_","warthog","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","70","bearing_degrees","180","how_many_animals_were_observed","5","observers","TW2","coordinates","0.73158 37.59151","habitat_","acacia _reficiens_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","50","bearing_degrees","40","how_many_animals_were_observed","70","observers","TW2","coordinates","0.72416 37.59796","habitat_","acacia _reficiens_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"230","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","30","bearing_degrees","200","how_many_animals_were_observed","34","observers","TW2","coordinates","0.71556 37.60540","habitat_","acacia _reficiens_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"231","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","30","bearing_degrees","60","how_many_animals_were_observed","45","observers","TW2","coordinates","0.69955 37.61916","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"232","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","100","bearing_degrees","20","how_many_animals_were_observed","300","observers","TW2","coordinates","0.69153 37.62822","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"233","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","40","bearing_degrees","80","how_many_animals_were_observed","67","observers","TW2","coordinates","0.67821 37.63754","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"234","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","130","bearing_degrees","240","how_many_animals_were_observed","4","observers","TW2","coordinates","0.53738 37.66316","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"235","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","123","bearing_degrees","170","how_many_animals_were_observed","56","observers","TW2","coordinates","0.52303 37.65449","habitat_","disturbed_human_buildings","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"236","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","30","bearing_degrees","300","how_many_animals_were_observed","12","observers","TW2","coordinates","0.49285 37.63677","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"237","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","60","bearing_degrees","320","how_many_animals_were_observed","12","observers","TW2","coordinates","0.38871 37.59200","habitat_","disturbed_human_buildings","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"238","species_","mongoose","was_the_animal_observed_as_road","roadkill","approximate_number_of_days_sinc","1","approximate_age_of_individual","2","sex_of_animal","can_not_tell","observers","TW2","coordinates","0.75661 37.56990","habitat_","commiphora_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","species_","bird","what_species_of_bird_was_observ","Guiney fowl","observers","TW2","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","30","bearing_degrees","300","how_many_animals_were_observed","32","coordinates","1.23372 37.66877","habitat_","mixed_shrubs_and_trees","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"240","species_","dik_dik","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","individual","distance_meters","120","bearing_degrees","45","how_many_animals_were_observed","null","observers","TW2","coordinates","1.21335 37.63846","habitat_","commiphora_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","species_","bird","what_species_of_bird_was_observ","Ostrich","observers","TW2","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","individual","distance_meters","40","bearing_degrees","90","coordinates","0.96927 37.57951","habitat_","commiphora_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","species_","bird","what_species_of_bird_was_observ","Ostrich","observers","TW2","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","individual","distance_meters","70","bearing_degrees","240","coordinates","0.96353 37.57812","habitat_","commiphora_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","80","bearing_degrees","140","how_many_animals_were_observed","52","observers","TW2","coordinates","0.91025 37.56316","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"244","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","20","bearing_degrees","340","how_many_animals_were_observed","34","observers","TW2","coordinates","0.89386 37.56020","habitat_","commiphora_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"245","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","50","bearing_degrees","300","how_many_animals_were_observed","2","observers","TW2","coordinates","0.87719 37.56320","habitat_","dense_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"246","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","5","bearing_degrees","180","how_many_animals_were_observed","23","observers","TW2","coordinates","0.82863 37.56067","habitat_","acacia _reficiens_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"247","species_","livestock","livestock","camel","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","10","bearing_degrees","170","how_many_animals_were_observed","38","observers","TW2","habitat_","acacia _reficiens_dominated","width_of_the_road","single_lane","coordinates",NA,NA,NA,NA,NA,NA,NA
"248","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","5","bearing_degrees","160","how_many_animals_were_observed","45","observers","TW2","coordinates","0.77545 37.55637","habitat_","disturbed_human_buildings","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"249","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","120","bearing_degrees","100","how_many_animals_were_observed","156","observers","TW2","habitat_","acacia _reficiens_dominated","coordinates","0.73674 37.58695","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"250","species_","bird","what_species_of_bird_was_observ","Guineafowl","was_the_animal_observed_as_road","roadkill","was_a_group_of_animals_observed","null","distance_meters","null","bearing_degrees","null","approximate_number_of_days_sinc","1","approximate_age_of_individual","2","sex_of_animal","can_not_tell","observers","TW2","coordinates","0.71889 37.60254","habitat_","acacia _reficiens_dominated","width_of_the_road",NA,NA,NA
"251","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","230","bearing_degrees","70","how_many_animals_were_observed","130","observers","TW2","coordinates","0.67891 37.63707","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"252","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","50","bearing_degrees","280","how_many_animals_were_observed","240","observers","TW2","coordinates","0.64902 37.64937","habitat_","disturbed_human_buildings","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"253","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","70","bearing_degrees","280","how_many_animals_were_observed","22","observers","TW2","coordinates","0.51324 37.64824","habitat_","disturbed_human_buildings","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"254","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","20","bearing_degrees","20","how_many_animals_were_observed","14","observers","TW2","coordinates","0.49930 37.64045","habitat_","disturbed_human_buildings","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"255","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","60","bearing_degrees","300","how_many_animals_were_observed","13","observers","TW2","coordinates","0.47620 37.62799","habitat_","disturbed_human_buildings","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"256","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","70","bearing_degrees","230","how_many_animals_were_observed","9","observers","TW2","coordinates","0.46168 37.61361","habitat_","disturbed_human_buildings","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"257","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","200","bearing_degrees","320","how_many_animals_were_observed","27","observers","TW2","coordinates","0.43407 37.60311","habitat_","disturbed_human_buildings","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"258","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","10","bearing_degrees","30","how_many_animals_were_observed","8","observers","TW2","coordinates","0.41999 37.59856","habitat_","mixed_shrubs_and_trees","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"259","species_","livestock","livestock","camel","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","30","bearing_degrees","100","how_many_animals_were_observed","6","observers","TW2","coordinates","0.40606 37.59573","habitat_","mixed_shrubs_and_trees","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"260","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","30","bearing_degrees","180","how_many_animals_were_observed","89","observers","TW2","coordinates","0.39768 37.59391","habitat_","disturbed_human_buildings","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"261","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","30","bearing_degrees","180","how_many_animals_were_observed","null","observers","TW2","coordinates","0.39768 37.59391","habitat_","disturbed_human_buildings","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
