"","V2_01","V2_02","V3_01","V3_02","V4_01","V4_02","V5_01","V5_02","V6_01","V6_02","V7_01","V7_02","V8_01","V8_02","V9_01","V9_02","V10_01","V10_02","V11_01","V11_02","V12_01","V12_02","V13_01","V13_02","V14_01","V14_02","V15_01","V15_02"
"103","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","10","bearing_degrees","90","how_many_animals_were_observed","32","observers","TW2","coordinates","N0.46047 E37.61270","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"104","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","35","bearing_degrees","240","how_many_animals_were_observed","54","observers","TW2","coordinates","N0.44397 E37.60649","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"105","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","34","bearing_degrees","70","how_many_animals_were_observed","15","observers","TW2","coordinates","N0.42834 E37.60128","habitat_","disturbed_human_buildings","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"106","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","76","bearing_degrees","310","how_many_animals_were_observed","72","observers","TW2","coordinates","N0.42157 E37.59909","habitat_","disturbed_human_buildings","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"107","bearing_degrees","250","coordinates","01.40514 E037.72308","distance_meters","130","how_many_animals_were_observed","7","livestock","cattle","observers","Tw2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane","generated_note_survey","null","what_species_of_bird_was_observ","null","approximate_number_of_days_sinc","null","approximate_age_of_individual","null,
    sex_of_animal"
"108","species_","baboon","livestock","null","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","80","bearing_degrees","140","how_many_animals_were_observed","12","observers","Tw2","coordinates","N01.39262E037.72285","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"109","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","210","bearing_degrees","160","how_many_animals_were_observed","47","observers","Tw2","coordinates","N01.27251E037.67657","habitat_","mixed_shrubs_and_trees","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"110","species_","gerenuk","livestock","null","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","110","bearing_degrees","80","how_many_animals_were_observed","4","observers","Tw2","coordinates","N01.18845E037.59695","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"111","species_","gerenuk","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","280","bearing_degrees","220","how_many_animals_were_observed","6","observers","Tw2","coordinates","01.18647E 037.58509","habitat_","mixed_shrubs_and_trees","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","120","bearing_degrees","150","how_many_animals_were_observed","80","observers","Tw2","coordinates","N01.14697E037.59667","habitat_","mixed_shrubs_and_trees","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"113","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","90","bearing_degrees","290","how_many_animals_were_observed","6","observers","Tw2","coordinates","N01.13223E037.59872","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"114","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","100","bearing_degrees","140","how_many_animals_were_observed","20","observers","Tw2","coordinates","N01.10072E037.58588","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"115","species_","grevys_zebra","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","individual","distance_meters","50","bearing_degrees","140","observers","Tw2","coordinates","N01.03833E037.56205","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","70","bearing_degrees","160","how_many_animals_were_observed","40","observers","Tw2","coordinates","00.94731E037.57550","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"117","was_the_animal_observed_as_road","roadkill","approximate_number_of_days_sinc","5","approximate_age_of_individual","3","sex_of_animal","female","observers","Tw2","coordinates","N00.87826E037.56290","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","species_","livestock","livestock","camel","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","90","bearing_degrees","210","how_many_animals_were_observed","13","observers","Tw2","coordinates","N00.84662E037.56945","habitat_","mixed_shrubs_and_trees","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"119","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","100","bearing_degrees","270","how_many_animals_were_observed","60","observers","Tw2","coordinates","N00.81065E037.55299","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"120","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","80","bearing_degrees","120","how_many_animals_were_observed","30","observers","Tw2","coordinates","00.79420E 037.55096","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"121","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","120","bearing_degrees","290","how_many_animals_were_observed","40","observers","Tw2","coordinates","N00.76071E037.56592","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"122","species_","livestock","livestock","camel","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","60","bearing_degrees","180","how_many_animals_were_observed","40","observers","Tw2","coordinates","N00.73760E037.58620","habitat_","mixed_shrubs_and_trees","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"123","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","90","bearing_degrees","110","how_many_animals_were_observed","40","observers","Tw2","coordinates","00.72597E037.59639","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"124","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","50","bearing_degrees","260","how_many_animals_were_observed","60","observers","Tw2","coordinates","N00.72597E037.59639","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"125","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","90","bearing_degrees","240","how_many_animals_were_observed","48","observers","Tw2","coordinates","N00.66132E037.64744","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"126","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","60","bearing_degrees","80","how_many_animals_were_observed","45","observers","Tw2","coordinates","N00.63323E037.67329","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"127","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","40","bearing_degrees","230","how_many_animals_were_observed","67","observers","Tw2","coordinates","N00.60514E037.67210","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"128","bearing_degrees","160","coordinates","N00.56236E037.67777","distance_meters","50","habitat_","open_scrub","how_many_animals_were_observed","70","livestock","shoat","observers","Tw2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane","generated_note_survey","null","what_species_of_bird_was_observ","null","approximate_number_of_days_sinc","null,
    approximate_age_of_individual"
"129","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","90","bearing_degrees","280","how_many_animals_were_observed","60","observers","Tw2","coordinates","N00.53811E037.66358","width_of_the_road","single_lane","habitat_",NA,NA,NA,NA,NA,NA,NA
